overall_rank,name,pos,pos_rank,tier,team,bye,proj_points,ppg,availability,adp,adp_stdev,vor,vor_model,vor_market,edge,times_drafted,notes
555,Charlie Woerner,TE,110,34,ATL,11,8.0,0.56,0.84,641.5,141.1,-111.6,-142.9,-53.4,-89.5,0,
556,Kylen Granson,TE,111,35,TEN,9,4.0,0.28,0.84,505.0,111.1,-111.8,-146.9,-46.5,-100.4,0,
557,Ameer Abdullah,RB,126,48,JAX,7,4.8,0.4,0.704,612.4,134.7,-111.9,-144.2,-51.9,-92.3,0,
558,Eric Saubert,TE,112,35,SEA,11,5.7,0.4,0.84,575.5,126.6,-111.9,-145.2,-50.1,-95.1,0,
559,Seydou Traore,TE,113,35,MIA,6,8.0,0.56,0.84,668.6,147.1,-112.0,-142.9,-54.7,-88.2,0,
560,Zamir White,RB,127,48,NO,8,5.1,0.37,0.8,631.7,139.0,-112.0,-143.9,-52.9,-91.0,0,
561,Cam Akers,RB,128,48,FA,0,5.1,0.37,0.8,652.9,143.6,-112.4,-143.9,-53.9,-90.0,0,
562,Jack Velling,TE,114,36,ATL,11,7.3,0.51,0.84,664.6,146.2,-112.4,-143.6,-54.5,-89.1,0,
563,Devin Culp,TE,115,36,TB,10,7.3,0.51,0.84,668.9,147.2,-112.5,-143.6,-54.7,-88.9,0,
564,Kalel Mullings,RB,129,48,TEN,9,5.6,0.41,0.8,690.0,151.8,-112.7,-143.4,-55.8,-87.6,0,
565,Craig Reynolds,RB,130,49,WAS,7,4.4,0.35,0.744,646.0,142.1,-112.7,-144.6,-53.6,-91.0,0,
566,Zavier Scott,RB,131,49,CHI,10,5.6,0.41,0.8,693.0,152.5,-112.8,-143.4,-55.9,-87.5,0,
567,Nate Adkins,TE,116,37,DEN,10,5.7,0.4,0.84,627.5,138.1,-112.8,-145.2,-52.7,-92.5,0,
568,Kenny McIntosh,RB,132,50,FA,0,5.2,0.38,0.8,684.4,150.6,-112.9,-143.8,-55.5,-88.3,0,
569,Brevin Jordan,TE,117,37,HOU,8,6.1,0.45,0.798,651.3,143.3,-113.0,-144.8,-53.8,-91.0,0,
570,Tyler Goodson,RB,133,51,ATL,11,4.8,0.35,0.8,683.8,150.4,-113.1,-144.2,-55.5,-88.7,0,
571,Davis Allen,TE,118,37,LAR,11,5.9,0.43,0.798,660.7,145.4,-113.3,-145.0,-54.3,-90.7,0,
572,Jacardia Wright,RB,134,52,SEA,11,4.3,0.32,0.8,677.2,149.0,-113.4,-144.7,-55.1,-89.6,0,
573,Max Bredeson,RB,135,53,MIN,6,3.8,0.28,0.808,667.3,146.8,-113.5,-145.2,-54.6,-90.6,0,
574,Julian Hill,TE,119,38,NE,11,5.6,0.82,0.353,668.8,147.1,-113.6,-145.3,-54.7,-90.6,0,
575,Harrison Bryant,TE,120,39,FA,0,4.0,0.29,0.798,631.5,138.9,-114.0,-146.9,-52.9,-94.0,0,
576,Cameron Latu,TE,121,39,NE,11,4.0,0.28,0.84,673.1,148.1,-114.7,-146.9,-54.9,-92.0,0,
577,Chris Manhertz,TE,122,40,NYG,8,2.3,0.17,0.806,625.3,137.6,-115.0,-148.6,-52.5,-96.1,0,
578,Donovan Edwards,RB,136,54,FA,0,2.1,0.15,0.8,700.9,154.2,-115.2,-146.9,-56.3,-90.6,0,
579,Tyler Conklin,TE,123,41,DET,6,1.7,0.12,0.84,676.4,148.8,-116.3,-149.2,-55.1,-94.1,0,
580,Robert Tonyan,TE,124,41,PIT,9,1.9,0.13,0.84,687.9,151.3,-116.3,-149.0,-55.7,-93.3,0,
581,Deshaun Watson,QB,32,14,CLE,11,96.1,6.42,0.88,270,45.0,-127.2,-177.0,-34.8,-142.2,0,
582,Shedeur Sanders,QB,33,15,CLE,11,92.1,6.16,0.88,236.1,51.9,-129.2,-180.9,-33.1,-147.9,0,
583,Tua Tagovailoa,QB,34,16,ATL,11,87.0,5.81,0.88,236.5,52.0,-132.6,-186.1,-33.1,-153.0,0,
584,Carson Beck,QB,35,17,ARI,14,50.9,3.4,0.88,270,45.0,-156.6,-222.1,-34.8,-187.4,0,
585,Kirk Cousins,QB,36,18,LV,13,36.2,2.54,0.836,270,45.0,-166.2,-236.9,-34.8,-202.1,0,
586,Justin Fields,QB,37,19,KC,5,32.7,2.19,0.88,270,45.0,-168.4,-240.3,-34.8,-205.6,0,
587,Taylen Green,QB,38,20,CLE,11,28.3,1.89,0.88,270,45.0,-171.3,-244.8,-34.8,-210.0,0,
588,Joe Flacco,QB,39,21,CIN,6,26.7,1.88,0.836,270,45.0,-172.3,-246.3,-34.8,-211.6,0,
589,Derek Carr,QB,40,22,FA,0,25.2,2.81,0.528,270,45.0,-173.3,-247.9,-34.8,-213.1,0,
590,Mac Jones,QB,41,22,SF,8,24.7,1.65,0.88,270,45.0,-173.6,-248.3,-34.8,-213.6,0,
591,Cade Klubnik,QB,42,23,NYJ,13,22.0,1.47,0.88,270,45.0,-175.4,-251.1,-34.8,-216.3,0,
592,Will Howard,QB,43,24,PIT,9,20.5,1.37,0.88,270,45.0,-176.3,-252.6,-34.8,-217.8,0,
593,Anthony Richardson,QB,44,24,IND,13,20.3,1.36,0.88,270,45.0,-176.5,-252.7,-34.8,-218.0,0,
594,Gardner Minshew,QB,45,24,ARI,14,26.0,1.74,0.88,677.8,149.1,-179.9,-247.1,-55.2,-191.9,0,
595,J.J. McCarthy,QB,46,25,MIN,6,12.6,0.84,0.88,224.2,49.3,-180.7,-260.4,-32.5,-227.9,0,
596,Trey Lance,QB,47,25,LAC,7,13.6,0.91,0.88,270,45.0,-180.8,-259.4,-34.8,-224.7,0,
597,Ty Simpson,QB,48,26,LAR,11,12.6,0.84,0.88,241.8,53.2,-181.0,-260.4,-33.4,-227.1,0,
598,Jalen Milroe,QB,49,26,SEA,11,12.9,0.86,0.88,270,45.0,-181.3,-260.2,-34.8,-225.4,0,
599,Marcus Mariota,QB,50,27,WAS,7,12.1,0.85,0.836,270,45.0,-181.8,-260.9,-34.8,-226.2,0,
600,Jameis Winston,QB,51,27,NYG,8,11.9,0.79,0.88,270,45.0,-182.0,-261.2,-34.8,-226.4,0,
601,Will Levis,QB,52,27,FA,0,11.7,0.78,0.88,270,45.0,-182.1,-261.4,-34.8,-226.6,0,
602,Tyler Huntley,QB,53,27,BAL,13,11.7,0.78,0.88,270,45.0,-182.1,-261.4,-34.8,-226.6,0,
603,Spencer Rattler,QB,54,27,NO,8,11.7,0.78,0.88,270,45.0,-182.1,-261.4,-34.8,-226.6,0,
604,Diego Pavia,QB,55,27,FA,0,11.5,0.77,0.88,270,45.0,-182.2,-261.5,-34.8,-226.8,0,
605,Tyson Bagent,QB,56,27,CHI,10,11.5,0.77,0.88,270,45.0,-182.2,-261.6,-34.8,-226.8,0,
606,Carson Wentz,QB,57,27,MIN,6,11.4,0.76,0.88,270,45.0,-182.2,-261.6,-34.8,-226.8,0,
607,Riley Leonard,QB,58,28,IND,13,11.4,0.76,0.88,270,45.0,-182.2,-261.6,-34.8,-226.8,0,
608,Tanner McKee,QB,59,28,PHI,10,11.4,0.76,0.88,270,45.0,-182.2,-261.6,-34.8,-226.9,0,
609,Quinn Ewers,QB,60,28,JAX,7,11.4,0.76,0.88,270,45.0,-182.3,-261.7,-34.8,-226.9,0,
610,Joe Milton,QB,61,28,DAL,14,11.4,0.76,0.88,270,45.0,-182.3,-261.7,-34.8,-226.9,0,
611,Clayton Tune,QB,62,28,FA,0,11.4,0.76,0.88,270,45.0,-182.3,-261.7,-34.8,-226.9,0,
612,Tommy DeVito,QB,63,28,NE,11,11.4,0.76,0.88,270,45.0,-182.3,-261.7,-34.8,-226.9,0,
613,Jarrett Stidham,QB,64,28,DEN,10,11.2,0.75,0.88,270,45.0,-182.4,-261.8,-34.8,-227.1,0,
614,Davis Mills,QB,65,28,HOU,8,11.0,0.74,0.88,270,45.0,-182.5,-262.0,-34.8,-227.2,0,
615,Mitchell Trubisky,QB,66,29,TEN,9,10.9,0.77,0.836,270,45.0,-182.6,-262.1,-34.8,-227.3,0,
616,Dillon Gabriel,QB,67,29,CLE,11,10.9,1.6,0.37,270,45.0,-182.6,-262.2,-34.8,-227.4,0,
617,Andy Dalton,QB,68,29,PHI,10,10.8,0.76,0.836,270,45.0,-182.6,-262.2,-34.8,-227.5,0,
618,Mason Rudolph,QB,69,29,PIT,9,10.7,0.71,0.88,270,45.0,-182.7,-262.4,-34.8,-227.6,0,
619,Teddy Bridgewater,QB,70,29,FA,0,10.6,1.18,0.528,270,45.0,-182.8,-262.5,-34.8,-227.7,0,
620,Drew Allar,QB,71,29,PIT,9,20.0,1.34,0.88,699.6,153.9,-184.2,-253.0,-56.3,-196.8,0,
621,Josh Johnson,QB,72,30,CIN,6,10.3,0.73,0.836,544.0,119.7,-187.7,-262.7,-48.5,-214.2,0,
622,Tyrod Taylor,QB,73,30,GB,11,11.9,0.84,0.836,658.2,144.8,-188.7,-261.2,-54.2,-207.0,0,
623,Nick Mullens,QB,74,31,JAX,7,11.0,0.74,0.88,660.0,145.2,-189.3,-262.0,-54.3,-207.7,0,
624,Kyle Allen,QB,75,31,BUF,7,11.0,0.74,0.88,665.6,146.4,-189.4,-262.1,-54.6,-207.5,0,
625,Jimmy Garoppolo,QB,76,31,FA,0,11.3,0.76,0.88,685.4,150.8,-189.6,-261.7,-55.6,-206.2,0,
626,Joshua Dobbs,QB,77,31,DET,6,11.4,0.76,0.88,692.3,152.3,-189.6,-261.7,-55.9,-205.8,0,
