overall_rank,name,pos,pos_rank,tier,team,bye,proj_points,ppg,availability,adp,adp_stdev,vor,vor_model,vor_market,edge,times_drafted,notes
213,Pat Freiermuth,TE,25,10,PIT,9,128.4,8.99,0.84,239.9,52.8,-26.3,-22.5,-33.3,10.8,0,
214,Ja'Kobi Lane,WR,67,15,BAL,13,104.9,7.26,0.85,161.6,20.8,-26.5,-33.2,-14.1,-19.1,113,
215,Josh Jacobs,RB,44,13,GB,11,87.2,11.49,0.446,65.0,30.6,-27.5,-61.8,36.2,-98.0,416,
216,Tre' Harris,WR,68,15,LAC,7,112.9,8.22,0.807,195.8,35.4,-27.7,-25.2,-32.3,7.1,12,
217,Miami Dolphins,DEF,32,8,MIA,6,62.0,3.65,1.0,299.0,65.8,-28.3,-24.0,-36.2,12.2,0,
218,Matt Gay,K,27,9,LV,13,75.0,4.55,0.97,263.3,57.9,-28.3,-25.0,-34.4,9.4,0,
219,Keenan Allen,WR,69,16,IND,13,106.8,7.7,0.816,162.0,34.2,-29.0,-31.3,-24.7,-6.6,123,
220,Devaughn Vele,WR,70,16,NO,8,110.6,7.65,0.85,194.9,39.1,-29.2,-27.5,-32.3,4.8,32,
221,Cade Otton,TE,26,10,TB,10,122.3,8.56,0.84,233.1,51.3,-30.1,-28.6,-32.9,4.3,0,
222,Spencer Shrader,K,28,9,IND,13,75.0,4.55,0.97,378.0,83.2,-30.3,-25.0,-40.2,15.2,0,
223,Darren Waller,TE,27,10,CAR,5,122.6,8.94,0.806,270,45.0,-30.6,-28.3,-34.8,6.5,0,
224,Trey Smack,K,29,10,GB,11,70.0,4.24,0.97,177.7,25.6,-30.8,-30.0,-32.3,2.3,46,
225,Jauan Jennings,WR,71,17,MIN,6,105.7,7.31,0.85,171.6,36.5,-32.4,-32.4,-32.3,-0.1,59,
226,Malachi Fields,WR,72,17,NYG,8,105.2,7.28,0.85,188.0,31.1,-32.7,-32.9,-32.3,-0.6,18,
227,Mike Washington,RB,45,13,LV,13,97.5,7.1,0.808,146.8,23.5,-34.5,-51.5,-3.0,-48.5,437,
228,Rashod Bateman,WR,73,17,BAL,13,102.3,7.08,0.85,187.1,39.9,-34.6,-35.8,-32.3,-3.5,35,
229,Drew Stevens,K,30,10,WAS,7,74.0,4.49,0.97,629.7,138.5,-35.4,-26.0,-52.8,26.8,0,
230,Tyrone Tracy,RB,46,13,NYG,8,111.3,8.61,0.76,166.1,17.9,-35.5,-37.7,-31.3,-6.4,66,
231,C.J. Stroud,QB,23,7,HOU,8,235.8,15.76,0.88,176.7,26.7,-35.5,-37.2,-32.3,-4.9,141,
232,Dominic Zvada,K,31,11,NYG,8,66.0,4.0,0.97,355.3,78.2,-35.8,-34.0,-39.0,5.0,0,
233,Germie Bernard,WR,74,17,PIT,9,98.9,6.84,0.85,191.8,35.7,-36.8,-39.2,-32.3,-6.9,7,
234,Cyrus Allen,WR,75,17,KC,5,94.5,6.54,0.85,163.8,23.5,-37.0,-43.6,-24.7,-18.9,22,
235,Adonai Mitchell,WR,76,17,NYJ,13,98.3,6.8,0.85,189.4,38.3,-37.2,-39.8,-32.3,-7.5,43,
236,Greg Dulcich,TE,28,11,MIA,6,110.9,7.77,0.84,190.4,37.1,-37.3,-40.0,-32.3,-7.7,20,
